element_type,osmid,name,geometry,college,food_court,hospital,parking,restaurant,university,latitude,longitude
node,1933542578,Noname Cafe,POINT (0.0885282 51.3607173),0,0,0,0,1,0,,
node,1933542587,Bamboo,POINT (0.087914 51.3606519),0,0,0,0,1,0,,
node,1934114936,Sami's,POINT (-0.2216742 51.5891478),0,0,0,0,1,0,,
node,1935119258,Nando's,POINT (-0.5127733 51.4344663),0,0,0,0,1,0,,
node,1936857170,Big Bowl Noodle,POINT (-0.0799405 51.5891484),0,0,0,0,1,0,,
node,1936869841,Il Bianco,POINT (-0.0062482 51.5066487),0,0,0,0,1,0,,
node,1937050454,Dip & Flip,POINT (-0.1674878 51.4606872),0,0,0,0,1,0,,
node,1938110507,Flour & Grape,POINT (-0.0814971 51.498013),0,0,0,0,1,0,,
node,1938293350,Favourite Inn,POINT (0.0700787 51.4903006),0,0,0,0,1,0,,
node,1938614377,Zen China,POINT (-0.1191968 51.5019611),0,0,0,0,1,0,,
node,1938614379,YO! Sushi,POINT (-0.117251 51.5061254),0,0,0,0,1,0,,
node,1941486351,Anokha,POINT (-0.2641378 51.5087112),0,0,0,0,1,0,,
node,1942558321,Il Basilico,POINT (-0.4489894 51.4821787),0,0,0,0,1,0,,
node,1946839390,Taste of India,POINT (-0.532301 51.2913434),0,0,0,0,1,0,,
node,1949536809,Wood Oven Kitchen,POINT (0.0266397 51.5925997),0,0,0,0,1,0,,
node,1956516406,Blues Restaurant & Bar,POINT (-0.3398221 51.5706288),0,0,0,0,1,0,,
node,1958593239,KIBOU,POINT (-0.163784 51.4539544),0,0,0,0,1,0,,
node,1958594250,Manifesto Pizza,POINT (-0.1648892 51.4553363),0,0,0,0,1,0,,
node,1958598640,Macellaio,POINT (-0.1654847 51.4561586),0,0,0,0,1,0,,
node,1958599129,Numero Uno,POINT (-0.1649 51.4558729),0,0,0,0,1,0,,
node,1960405669,Just Paratha,POINT (-0.296186 51.595507),0,0,0,0,1,0,,
node,1962961372,The Delaunay,POINT (-0.1182298 51.5130398),0,0,0,0,1,0,,
node,1964534542,George's Fish & Souvlaki Bar,POINT (0.024834 51.5937977),0,0,0,0,1,0,,
node,1964565140,Zizzi,POINT (0.0232662 51.5947502),0,0,0,0,1,0,,
node,1966620776,,POINT (0.2409002 51.4946205),0,0,0,1,0,0,,
node,1966620839,,POINT (0.2416461 51.493121),0,0,0,1,0,0,,
node,1966620897,,POINT (0.1976691 51.510086),0,0,0,1,0,0,,
node,1968294040,Franco Manca,POINT (-0.1661839 51.4581922),0,0,0,0,1,0,,
node,1969482312,Stonehouse The Goat,POINT (-0.4330693 51.401512),0,0,0,0,1,0,,
node,1969539011,Café Cappriccio,POINT (-0.4147922 51.4071181),0,0,0,0,1,0,,
node,1969984447,The Orangery tea room/cafe,POINT (-0.4278329 51.3998057),0,0,0,0,1,0,,
